[caa-fingerprint] [dns] [info] pdclnprp26.fisglobal.com
[caa-fingerprint] [dns] [info] pdclpcrp69.fisglobal.com
[caa-fingerprint] [dns] [info] pdclpcrpcto01.fisglobal.com
[caa-fingerprint] [dns] [info] pdclnprp28.fisglobal.com
[caa-fingerprint] [dns] [info] pdclnprp41.fisglobal.com
[caa-fingerprint] [dns] [info] pdclpcrp55.fisglobal.com
[caa-fingerprint] [dns] [info] pdclnprp40.fisglobal.com
[caa-fingerprint] [dns] [info] pdclpcrp52.fisglobal.com
[caa-fingerprint] [dns] [info] pdclnprp58.fisglobal.com
[caa-fingerprint] [dns] [info] pdclpcrp06.fisglobal.com
[caa-fingerprint] [dns] [info] pdclpcrp02.fisglobal.com
"[txt-fingerprint] [dns] [info] refer.fisglobal.com [""""google-site-verification=QTqTMETsSdiAG96xSFmzdXpOK1CdPdqzo2Bomre6w6Y"""",""""google-site-verification=OR1Dxjz7lXfsMSTzdmscdUNH56xGM9k7kpj72k7ERAs""""]"
[caa-fingerprint] [dns] [info] securlockequip-dr.fisglobal.com
[caa-fingerprint] [dns] [info] sftbdc.fisglobal.com
[caa-fingerprint] [dns] [info] sftlrk-dr.fisglobal.com
[caa-fingerprint] [dns] [info] site-156.55.203.28.fisglobal.com
[caa-fingerprint] [dns] [info] pps-pdc-websrv-redirect.fisglobal.com
[caa-fingerprint] [dns] [info] pnc-ecm.fisglobal.com
[caa-fingerprint] [dns] [info] sai-scm.fisglobal.com
[caa-fingerprint] [dns] [info] portalch.ssb.fisglobal.com
[caa-fingerprint] [dns] [info] test-urt-reporting.fisglobal.com
[caa-fingerprint] [dns] [info] tgtuatprelim.fisglobal.com
[caa-fingerprint] [dns] [info] rbcpcg-scm-uat.fisglobal.com
[caa-fingerprint] [dns] [info] statefarm-scm-uat.fisglobal.com
[caa-fingerprint] [dns] [info] qr.fisglobal.com
[caa-fingerprint] [dns] [info] pdclpcrpcto08.fisglobal.com
[caa-fingerprint] [dns] [info] pdcmblrp01.fisglobal.com
[caa-fingerprint] [dns] [info] phxcrprp02.fisglobal.com
[caa-fingerprint] [dns] [info] phxdbtrp03.fisglobal.com
[caa-fingerprint] [dns] [info] placeholder-for-bdclnprp08.fisglobal.com
[caa-fingerprint] [dns] [info] pm-bounces.fisglobal.com
[caa-fingerprint] [dns] [info] tgtuatdsprelim.fisglobal.com
"[caa-fingerprint] [dns] [info] refer.fisglobal.com [""letsencrypt.org""]"
[caa-fingerprint] [dns] [info] test-developer.fisglobal.com
[caa-fingerprint] [dns] [info] sso.fisglobal.com
"[spf-record-detect] [dns] [info] wstadmin.hilltopuat.fisglobal.com [""v=spf1 -all""""]"
"[txt-fingerprint] [dns] [info] wstadmin.hilltopuat.fisglobal.com [""""v=spf1 -all""""]"
[caa-fingerprint] [dns] [info] showcase.fisglobal.com
[caa-fingerprint] [dns] [info] truistezuat.fisglobal.com
[caa-fingerprint] [dns] [info] wstadmin.hilltopuat.fisglobal.com
[caa-fingerprint] [dns] [info] www.fisglobal.com
[caa-fingerprint] [dns] [info] pdclnp-gfs-rp01.fisglobal.com
[caa-fingerprint] [dns] [info] pdcitbrp23.fisglobal.com
[caa-fingerprint] [dns] [info] used-156-55-138-37.fisglobal.com
